Permit Type,Issuance Date
DM,01/30/2009 12:00:00 AM
DM,06/27/2008 12:00:00 AM
DM,09/30/2009 12:00:00 AM
DM,10/29/2008 12:00:00 AM
DM,02/02/2010 12:00:00 AM
DM,03/27/2012 12:00:00 AM
DM,04/01/2011 12:00:00 AM
DM,04/02/2008 12:00:00 AM
DM,11/28/2012 12:00:00 AM
DM,04/13/2011 12:00:00 AM
DM,11/13/2009 12:00:00 AM
DM,12/10/2012 12:00:00 AM
DM,08/08/2012 12:00:00 AM
DM,04/07/2011 12:00:00 AM
DM,01/31/2011 12:00:00 AM
DM,06/12/2012 12:00:00 AM
DM,10/16/2008 12:00:00 AM
DM,10/08/2008 12:00:00 AM
DM,03/03/2011 12:00:00 AM
DM,08/31/2012 12:00:00 AM
DM,03/04/2008 12:00:00 AM
DM,06/15/2010 12:00:00 AM
DM,01/16/2009 12:00:00 AM
DM,12/23/2008 12:00:00 AM
DM,11/02/2011 12:00:00 AM
DM,04/26/2011 12:00:00 AM
DM,07/11/2011 12:00:00 AM
DM,09/14/2012 12:00:00 AM
DM,08/11/2010 12:00:00 AM
DM,04/27/2010 12:00:00 AM
DM,04/17/2008 12:00:00 AM
DM,04/06/2009 12:00:00 AM
DM,03/09/2009 12:00:00 AM
DM,07/23/2012 12:00:00 AM
DM,05/02/2008 12:00:00 AM
DM,01/16/2008 12:00:00 AM
DM,09/11/2008 12:00:00 AM
DM,03/29/2010 12:00:00 AM
DM,08/07/2009 12:00:00 AM
DM,05/12/2010 12:00:00 AM
DM,08/22/2008 12:00:00 AM
DM,06/30/2011 12:00:00 AM
DM,05/11/2009 12:00:00 AM
DM,05/29/2008 12:00:00 AM
DM,02/18/2011 12:00:00 AM
DM,06/11/2008 12:00:00 AM
DM,07/27/2011 12:00:00 AM
DM,06/02/2010 12:00:00 AM
DM,10/18/2012 12:00:00 AM
DM,05/29/2009 12:00:00 AM
DM,10/25/2010 12:00:00 AM
DM,06/30/2010 12:00:00 AM
DM,08/08/2011 12:00:00 AM
DM,10/30/2009 12:00:00 AM
DM,10/17/2008 12:00:00 AM
DM,02/18/2011 12:00:00 AM
DM,05/14/2008 12:00:00 AM
DM,01/05/2012 12:00:00 AM
DM,06/07/2008 12:00:00 AM
DM,02/09/2009 12:00:00 AM
DM,03/03/2011 12:00:00 AM
DM,04/23/2008 12:00:00 AM
DM,03/10/2009 12:00:00 AM
DM,12/01/2008 12:00:00 AM
DM,07/23/2008 12:00:00 AM
DM,04/30/2012 12:00:00 AM
DM,08/11/2008 12:00:00 AM
DM,10/28/2011 12:00:00 AM
DM,01/14/2011 12:00:00 AM
DM,05/05/2009 12:00:00 AM
DM,10/11/2012 12:00:00 AM
DM,01/05/2009 12:00:00 AM
DM,07/21/2011 12:00:00 AM
DM,11/30/2010 12:00:00 AM
DM,07/02/2008 12:00:00 AM
DM,09/01/2011 12:00:00 AM
DM,10/02/2008 12:00:00 AM
DM,07/11/2011 12:00:00 AM
DM,01/06/2011 12:00:00 AM
DM,04/19/2012 12:00:00 AM
DM,12/01/2009 12:00:00 AM
DM,10/01/2008 12:00:00 AM
DM,07/27/2012 12:00:00 AM
DM,05/07/2008 12:00:00 AM
DM,03/24/2010 12:00:00 AM
DM,10/14/2008 12:00:00 AM
DM,12/20/2012 12:00:00 AM
DM,05/19/2009 12:00:00 AM
DM,04/07/2008 12:00:00 AM
DM,05/16/2011 12:00:00 AM
DM,01/05/2009 12:00:00 AM
DM,01/29/2010 12:00:00 AM
DM,10/26/2010 12:00:00 AM
DM,03/15/2010 12:00:00 AM
DM,07/02/2008 12:00:00 AM
